src,hyp,tgt,label,target_word,mis_score
"Where the qualifications of the <define> electors </define> are the ſame , whether they have to chooſe a ſmall or a large number their votes will fall upon thoſe in whom they have the moſt confidence ; whether thoſe happen to be men of large fortunes or of moderate property or of no property at all .",The electors,"(politics) A person eligible to vote in an election; a member of an electorate, a voter.",Hallucination,electors,0.20891840755939484
It 's definitely not unusual for a couple to meet through friends or be set up on a date . What is the meaning of unusual ?,Not usual ; not usual.,"Not usual , out of the ordinary",Not Hallucination,,0.8801729679107666
To twine the wreath of <define> incorruptive </define> praise,corruptible,(archaic) incorruptible; not liable to decay,Hallucination,incorruptive,0.10777311027050018
"To compel a state , upon theories of doubtful statutory interpretation , to appear as defendant suitor in its own courts , and to litigate with private parties as to whether it had abnegated its sovereignty of exemption , would be intolerable . What is the meaning of abnegate ?",To abnegate one's sovereignty of exemption,"To deny ( oneself something ) ; to renounce or give up ( a right , a power , a claim , a privilege , a convenience ) .",Hallucination,abnegate,0.18147845566272736
"This morning was a brisk fall day . it was n't cold enough for frost , but you wanted to keep moving . What is the meaning of brisk ?",fast moving.,Stimulating or invigorating .,Hallucination,brisk,0.2513270080089569
"Chris Matthews , Keith Olbermann and Tom Brokaw will provide <define> predebate </define> coverage at 6 .",Preparatory debate Preparatory debate,Prior to a debate.,Not Hallucination,,0.7647334933280945
"The <define> winterward </define> heart moves to solstice with the stark sense that , tilted too far from its sun , it will chill .",direction towards the winter,Becoming wintry.,Not Hallucination,,0.8164452314376831
My sudden fright was an unconscious response . What is the meaning of unconscious ?,unconsciousness,Without directed thought or awareness .,Hallucination,unconscious,0.48544442653656006
This note chords with that one . What is the meaning of chord ?,Musical note.,To accord ; to harmonize together .,Hallucination,chord,0.13433769345283508
Settled visage and deliberate word . What is the meaning of deliberate ?,"Purposefully, deliberately.",Formed with deliberation ; carefully considered ; not sudden or rash .,Not Hallucination,,0.7936785817146301
""" They do n't have to follow on land . There are <define> flycraft </define> and matboats in Peace City that will search us out . """,any kind of craft used to travel by air.,"(science fiction) A machine, device, or vessel that is capable of flight",Hallucination,flycraft,0.3269258737564087
"For tomatillo sauce , warm oil in a small saucepot on medium heat . What is the meaning of saucepot ?",A small saucepot.,A pot used to make sauce .,Not Hallucination,,0.7809597849845886
The defendant was charged with murder . What is the meaning of murder ?,Any act of homicide.,The crime of deliberately killing another person without justification .,Hallucination,murder,0.27158278226852417
"And that is more than i will yield unto : / i know i am too mean to be your queen , / and yet too good to be your concubine . What is the meaning of concubine ?",Alternative form of concubine,"A woman who lives with a man , but who is not a wife .",Hallucination,concubine,0.24466289579868317
"The EPL ( expressed protein ligation , also named intein - mediated protein ligation IPL ) technique can be used to <define> semisynthesize </define> proteins from recombinant and synthetic fragments , thus extending the size and complexity of the protein targets available to chemical engineering .",anything that is synthesized from other things,"(chemistry) To synthesize partially, usually by incorporating natural components.",Hallucination,semisynthesize,0.14632269740104675
The director wanted to remake some of his favourite films from the golden age of hollywood . What is the meaning of remake ?,A new version of something old.,"To make a new , especially updated , version of ( a film , video game , etc . ) .",Hallucination,remake,0.4967816472053528
"A gentle , easy movement , as regular as that by which a vessel plunges beneath the waves , had succeeded to the <define> immovableness </define> of the bed .",Imovability; ability to be immovable,The quality of being immovable.,Not Hallucination,,0.7549303770065308
These two families are so close that some species in either one may or may not <define> lichenize </define> symbiotic algae .,(transitive) To lichenize.,(transitive) To cover with lichens.,Not Hallucination,,0.7866960763931274
You are vulnerable to be bullied by someone at school . What is the meaning of vulnerable ?,able to be bullied by someone at school,"More or most likely to be exposed to the chance of being attacked or harmed , either physically or emotionally .",Hallucination,vulnerable,0.377517431974411
Salt beef ; salt tears . What is the meaning of salt ?,any substance that is salty on taste.,Salty ; salted .,Hallucination,salt,0.3903360664844513
"The man , being skilful in natural magick , did use all the artifices his subtilty could devise to <define> imbecilitate </define> the earl .",To make unworthyful.,"(transitive) To weaken, as to the body or the mind; to enfeeble.",Hallucination,imbecilitate,0.24563980102539062
"One swine <define> megafarm </define> in Milford Valley , Utah , reputedly produces more sewage than the city of Los Angeles .",Large farm,"A very large, factory-style farm",Not Hallucination,,0.7032957673072815
He was flabbergasted at how much weight he had gained . What is the meaning of flabbergasted ?,Having been flabbergasted.,"Appalled , annoyed , exhausted or disgusted .",Hallucination,flabbergasted,0.3289000988006592
"It does n’t seem accidental that the phrase “ luck of the draw ” can apply equally to <define> cardplaying </define> or gunslinging , or that the denouement of “ Lucky You ” — a showdown between Mr. Bana ’s character and his nemesis , L. C. , played by Robert Duvall — recalls not just the 52 - card catharsis of “ The Cincinnati Kid ” but also the showdowns that climax many great westerns .",Playing cards,The playing of card games.,Not Hallucination,,0.8429027795791626
"Finally , the lipid - oil solution was sonicated for 20 min in an <define> ultrasonicator </define> at 40 ° C to obtain a stable lipid in oil solution at 0.4 mM. The solution was kept at room temperature and was used to prepare liposomes up to two weeks after preparation .",ulsonicator,A device for performing ultrasonication.,Hallucination,ultrasonicator,0.11607453227043152
A ditcher of perfectly good ideas . What is the meaning of ditcher ?,One who ditches.,"One who ditches , or abandons .",Not Hallucination,,0.7807971239089966
"Not only for the adult excluded from work because of his infirmity , but also for the child excluded from the school because of its being tuberculous or predisposed must suitable provision for its cure and education be provided in preventorial and open air schools , the value of which has already been emphasized . What is the meaning of tuberculous ?",ulousness,Tubercular ; having or relating to tuberculosis .,Hallucination,tuberculous,0.1810532510280609
He was hired as the company 's token black person . What is the meaning of token ?,token person who represents minorities in a group.,"Included in minimal numbers in order to create an impression or illusion of diversity , especially ethnic or gender diversity .",Hallucination,token,0.2800263464450836
"Such a process seems to be expressing not so much a wish to "" <define> de - animalise </define> ' the body through its cultural marking , but rather to particularise a body that is still too generic , differentiating it from the bodies of other human collectivities as well as from those of other species .",The process of de - animalising.,Alternative form of deanimalize,Hallucination,animalise,0.11731450259685516
"Quill turned a key with a loud , <define> wrenchy </define> sound and dragged the door open .",any wrenchy.,Indicative of wrenching,Hallucination,wrenchy,0.1604394167661667
"The new college hallmates were awkward with each other at first , but after a game of charades as an icebreaker , they were laughing like old friends . What is the meaning of icebreaker ?",Alternative form of icebreaker,"A game , activity , humorous anecdote , etc. , designed to relax a group of people to help them get to know each other .",Hallucination,icebreaker,0.2877865731716156
Mind-numbingly tedious work . What is the meaning of mind-numbingly ?,Very numbingly.,In a mind-numbing manner .,Not Hallucination,,0.8625720143318176
"Although the antemortem injuries are severe , they are not the cause of death . What is the meaning of antemortem ?",The state of being mortally wounded,Having been inflicted or having occurred before death .,Hallucination,antemortem,0.20025694370269775
Unidirectionally aligned composites . What is the meaning of unidirectionally ?,Unidirectionally.,In a single direction ; in a unidirectional fashion,Not Hallucination,,0.8251280188560486
The <define> underneath </define> of the aircraft was painted blue .,To lie underneath something.,The lower surface or part of something.,Hallucination,underneath,0.3163096308708191
"In france , opinion polls show that the far-right national front , led by self-styled `` madame frexit '' marine le pen , is now more popular than the center-right republicans or ruling socialists . What is the meaning of Frexit ?","The act of leaving, removing oneself from something.",The ( possible ) act of France leaving the European Union .,Hallucination,Frexit,0.16421133279800415
The court found the statement was not libelous because it was true . What is the meaning of libelous ?,To be libelous.,meeting the legal standards for libel .,Hallucination,libelous,0.427552193403244
"Between our long hours of work during the early years at Rackspace , I would try to get his wife to let him come to my <define> ubergeeky </define> LUG - ish user group here in town : X - otic Computer Systems of San Antonio ( xcssa.org ) .",any excessively geeky.,(informal) Extremely geeky.,Hallucination,ubergeeky,0.37125149369239807
There was a great scandal when it was discovered the singer had been only lip-syncing . What is the meaning of lip-sync ?,Synonyms,To move lips in synchronization with sounds ( generally recorded ) so it appears they are the source of the sounds .,Hallucination,lip-sync,0.10048572719097137
"The dance was imitated by the natives , often with the introduction of some comical filipinizations amid laughter and merry-making in the barrios . What is the meaning of Filipinization ?",any process of adapting to a particular culture.,Conversion to a form that reflects Filipino cultural influences ; The spread of Philippine influence around the world .,Hallucination,Filipinization,0.10242419689893723
"There did she secretly also tender to the young Athenian the <define> empetalled </define> garland of her love , and all the girls dancing flung wreaths of flowers over the heads of the statues lining the way   [ … ]",planted.,Covered with petals or petal-like objects.,Hallucination,empetalled,0.12684926390647888
"Entering the bathroom , i found bill there , still starkers after his bath . What is the meaning of starkers ?",Alternative form of starkers,Completely nude .,Hallucination,starkers,0.21626606583595276
"In English I can not hear the sound of Italian o chiuso , but only that of ( o   5 ) followed by an <define> aftersound </define> , as in home , or without this aftersound , as in more .",sound following sound,"(phonetics, obsolete) A weaker sound that immediately follows a more salient one, such as the second, less prominent vowel sound in a falling diphthong.",Hallucination,aftersound,0.13249272108078003
"One hypermodern trend entails technological development , producing a postindustrial , information-infused society . this also leads to globalization ... What is the meaning of hypermodern ?",Very modernistic.,"Extremely modern , bordering on the futuristic .",Not Hallucination,,0.7907670736312866
"By getting involved in her local community , mary met lots of people and also helped make it a nicer place to live . What is the meaning of involve ?",Involve in something,To engage ( someone ) to participate in a task .,Not Hallucination,,0.7744046449661255
"When the trains meet , the points of the loop are operated from the lineside by the trainmen or <define> brakesmen </define> specially carried for this job .",A man who works on brakes.,"A brakeman; a railroad employee responsible for a train's brakes, couplings etc.",Not Hallucination,,0.7377369999885559
My old fussbudget aunt had a very <define> preachy </define> manner and would prattle on about the dangers of alcohol and other vices .,(medicine) Having a tendency to speak excessively.,Tending toward excessive moralization.,Hallucination,preachy,0.26439595222473145
"The church , which is situated near the centre of the town , exteriorly resembles a huge dutch barn . What is the meaning of exteriorly ?",Externally,"from the exterior , from outside",Not Hallucination,,0.8809279203414917
