src,hyp,label,mis_score
Don't worry. It's only temporary.,It's not serious.,Hallucination,0.8434050679206848
I have trouble working with Tom.,I have a hard time with Tom.,Hallucination,0.881062924861908
You look different than your picture.,You don't photograph the same.,Hallucination,0.7731643915176392
Everyone will envy you.,You'll be the most envied.,Hallucination,0.8536291122436523
Tom bought himself a new piano.,Tom just bought a new piano.,Hallucination,0.8961501717567444
How did you convince him?,How did you get him to agree?,Hallucination,0.8542657494544983
Tom buys clothes at the mall.,Tom goes to the mall to shop.,Hallucination,0.7029498219490051
"I really didn't care, you know?","I didn't particularly pay attention, you know?",Hallucination,0.8463518023490906
I want to talk to you about this report.,I would like to speak to you about this matter.,Hallucination,0.854691743850708
Give me a break!,I need a break.,Hallucination,0.8394489884376526
Tom dove into the water and swam to the other side.,Tom dove into the water and swam to the other bank.,Hallucination,0.7185871601104736
I have an important announcement to make.,I have an important statement to make.,Hallucination,0.8864885568618774
I know what happened.,I know what's been going on.,Hallucination,0.8732249736785889
I don't worry about those things.,I don't pay attention to those.,Hallucination,0.8839195966720581
"Tom's father, who is in prison, never writes to Tom.","Tom's father, who is in custody, never writes to Tom.",Hallucination,0.7306634187698364
Spiders are loathsome little creatures.,There's no love for spiders.,Hallucination,0.7328402400016785
Tom risked his life to save Mary.,He risked his own life to save Mary.,Hallucination,0.8647819757461548
I don't think it's strange at all.,I don't think it's particularly noteworthy.,Hallucination,0.8522604703903198
Didn't you ask me to hold your hand?,Did you not want me to take your hand?,Hallucination,0.7358466386795044
I'm not working today.,I'm not here today.,Hallucination,0.7232231497764587
I begged Tom to come.,I tried to get Tom to come.,Hallucination,0.8962191939353943
Tom didn't seem to recognize me.,Tom didn't even notice me.,Hallucination,0.7908574938774109
You're sitting in my chair.,You're sitting in my seat.,Hallucination,0.8277462124824524
"According to Tom, we shouldn't have done that.","According to Tom, we didn't do the right thing.",Hallucination,0.8886277079582214
"When it comes to cooking, no one can equal Mary.","When it comes to food, no one can match Mary.",Hallucination,0.887092649936676
Has anyone fed the dog?,Did they feed the dog?,Hallucination,0.8707236051559448
I bet I can do better than Tom.,I'm gonna do better than Tom.,Hallucination,0.8756076097488403
"As soon as she opened the door, a cat ran out.","As soon as she opened the door, a cat came out.",Hallucination,0.8948153257369995
Do you want to say anything to Tom?,Do you have anything to say to Tom?,Hallucination,0.8684899210929871
