src,hyp,label,mis_score
"I turn to the specific case of Mr Peltier, who, of course, is not on death row but is a long-term prisoner.",Mr. Pellier is not on death row.,Hallucination,0.6102898716926575
We urge the Commission to coordinate its own services much more effectively than it has in the past.,Commission should coordinate its own services more effective way than it did in past. Commission should coordinate its own services more effective way than it did in past.,Not Hallucination,0.9700857400894165
"Okay, look, we'll give you the food.",We'll give you some food.,Not Hallucination,0.9219381213188171
It is now up to Parliament and the Council of Ministers to make a decision.,Parliament will decide what to do now. Parliament will decide what to do now.,Not Hallucination,0.9104353189468384
A human.,A man is a human being.,Hallucination,0.6416168808937073
You've got to come back.,You must come back.,Not Hallucination,0.9705424308776855
Perhaps we could ask him for a donation if we cannot find the money any other way.,We could ask him for a donation if we can't find any other way to get money.,Not Hallucination,0.9657635688781738
(Parliament adopted the resolution),Parliament approves the resolution.,Not Hallucination,0.875698983669281
I was also pleased by the call just now for Member States to be able to apply moratoria.,I was also pleased by the call.,Hallucination,0.5244657397270203
Therefore we should not only focus on women.,We should focus on women.,Hallucination,0.2405225783586502
I've got my reasons.,I have my reasons why I do so.,Not Hallucination,0.9033377170562744
Thank you for understanding.,"You're right, thanks.",Hallucination,0.6584135890007019
I give the floor to Mr Verheugen to answer Mr Malone's question.,Here is Mr Malone.,Hallucination,0.0032974211499094963
It's mom.,It's mom's voice.,Not Hallucination,0.8922887444496155
"It says on this postcard that the new building is the new hemicycle, the new plenary chamber for the Council of Europe.",This is a new building.,Hallucination,0.11881475895643234
I'm relaxed.,"Relaxed, I'm relaxed.",Not Hallucination,0.9444074034690857
They're not asleep.,They're not sleeping.,Not Hallucination,0.9657405614852905
It's Freddy.,Freddy is Freddy.,Not Hallucination,0.8933404684066772
"Mr President, in the past fishermen themselves could run fisheries, but technical possibilities have changed the fishing industry.",Fishermen could run their own fisheries in the past.,Not Hallucination,0.8836356997489929
Have you met someone?,Have you met some people in town?,Hallucination,0.6168978810310364
"That, sadly, is far from being the case at the present time.",Presently that case isn't yet.,Not Hallucination,0.9268179535865784
I'm not your girl.,You're not my girlfriend.,Not Hallucination,0.9064457416534424
It is appealing for the participation of the WEU in a Petersberg-type mission in the area.,Petersberg mission in the area is appealing for the WEU to take part in it.,Not Hallucination,0.9582080245018005
"Hello, Joe.","Hey Joe,",Not Hallucination,0.8552058339118958
It is quite appalling that those people have been denied that right.,These people have been denied their right to that.,Not Hallucination,0.8778250813484192
We can't afford it.,We not can Afford it.,Not Hallucination,0.956215500831604
You got a warrant?,"You got a warrant, pal?",Hallucination,0.637010395526886
It's just the beginning.,It's just the beginning of it all.,Not Hallucination,0.9290469288825989
Yet that is very often the case at present.,Presently that case is very common.,Not Hallucination,0.9397222995758057
This also means that the increase in costs for the shipowners applies only to a small number of workers.,This also means that the increase in costs apply only to a small number of workers,Hallucination,0.36428970098495483
Are you gonna kill me?,Are you going to kill me?,Not Hallucination,0.950132429599762
I felt it.,I felt it was wrong.,Hallucination,0.5331166982650757
There are a number of areas which I would like to highlight.,There are some areas that I would like to highlight.,Not Hallucination,0.9478951692581177
"Time and again, Parliament and its delegation for relations with South Africa have called for the finalisation of such an agreement.","Time and again, Parliament and its delegation call for the finalisation of such an agreement.",Hallucination,0.5722451210021973
I've got plans.,Plans I have plans.,Not Hallucination,0.9391139149665833
"Hi, neighbour.","Hey, neighbor, how are you doing?",Hallucination,0.6051774621009827
This principle is enshrined in our committee's proposal.,The principle is enshrined in the proposal of our committee.,Not Hallucination,0.9644766449928284
"Today, the common view is that the woman and her testimony should be relied upon in court.",Woman's testimony should be relied upon in court.,Not Hallucination,0.9165136218070984
So a forced increase in payment appropriations for the year 2000 is not the right way.,"So, there is a forced increase in payments for the year two thousand.",Hallucination,0.06906398385763168
No one wants me.,Someone doesn't want me.,Not Hallucination,0.8730524182319641
They've got guns.,They have guns.,Not Hallucination,0.9676021933555603
I should like to welcome Mr Papoutsis and ask him to reply to Mr De Clercq's question.,Here is Mr Papoutsis.,Hallucination,0.09840935468673706
We have been waiting for you.,We were waiting for you.,Not Hallucination,0.9375264644622803
"If there is no acknowledgement of the right to disagree and the right to political dissent, then there is no freedom.",There is no acknowledgment of the right to dissent and dissent.,Hallucination,0.45288217067718506
Air pollution and marine pollution are problems which we cannot solve individually.,We don't have the money to solve these problems.,Hallucination,0.014829914085566998
She has therefore asked me to present the report.,She has asked me to present the report.,Not Hallucination,0.9536387324333191
We have to warn them.,We must warn them.,Not Hallucination,0.9771673083305359
But the opposition MPs are not criminals.,They are not criminals.,Hallucination,0.5579741597175598
But what will happen if the borders are closed in the next few years?,What if borders will be closed in the next few years?,Not Hallucination,0.9655923843383789
Why'd I say that?,Why I say that?,Not Hallucination,0.908356249332428
I'd do it for you.,I would do it for you.,Not Hallucination,0.9792819023132324
Is everybody okay?,All are in order.,Hallucination,0.1984938681125641
It is AIDS which has taught us these lessons in recent years.,It's been teaching us these lessons for a few years.,Hallucination,0.26997965574264526
"Mr President, I too must compliment Mr Donnelly on his excellent report.","Mr President, I too must compliment Mr Donelly on his excellent report.",Hallucination,0.6056072115898132
He has referred to the need for prudence.,Need to be prudent.,Not Hallucination,0.9050285220146179
"Hello, Laurel.","Hey, Laurel,",Not Hallucination,0.8724795579910278
She speaks.,She speaks to me.,Not Hallucination,0.8020186424255371
Just tell them the truth.,Tell them the truth.,Not Hallucination,0.9515066146850586
"What's your name, sweetheart?","What is your name, sweetheart?",Not Hallucination,0.9249628186225891
You'll pay for this.,You'll pay for this one.,Not Hallucination,0.9292680621147156
I don't have anywhere to go.,I don't have a place to stay.,Not Hallucination,0.920423686504364
"Hey, Rose.","Hey Rose,",Not Hallucination,0.823967695236206
Are we done here?,Here we are done.,Hallucination,0.21399575471878052
In Rome.,Rome is a capital city.,Hallucination,0.45435744524002075
"My first point concerns the reinclusion of compulsory distillation, which had actually been removed from the Commission proposal.",My first point is that compulsory distillation should be removed from the Commission.,Hallucination,0.23455925285816193
It did not work.,It didn't work out.,Not Hallucination,0.9705727696418762
I will not die.,I won't die.,Not Hallucination,0.97982257604599
What'd she look like?,What would she look like?,Hallucination,0.5689233541488647
We cannot impose our will upon those countries.,We cannot impose our will on these countries.,Not Hallucination,0.9763235449790955
But we see that as an ongoing process.,Process is still going on.,Not Hallucination,0.8318721652030945
I give the floor to Mr Verheugen to answer Mrs Thors's question.,Here is Mr Verheugen.,Hallucination,0.05538231506943703
I wish the presidency and the President of the Commission every success for a positive result in Berlin.,I want to see the President of the Commission.,Hallucination,0.010191953741014004
"Oh, you shouldn't have done that.",You shouldn't have done that.,Not Hallucination,0.9551978707313538
How'd he take it?,How did he take it?,Not Hallucination,0.9228700399398804
She's not coming.,She isn't coming in yet.,Not Hallucination,0.8651672601699829
"To conclude, respect for Community law is essential to bring Europe closer to its citizens.",It is important for us to bring the community closer.,Hallucination,0.3512479066848755
"What you have just offered us, namely to reject all the proposals we submitted, is outrageous!","Here is what you have just said,",Hallucination,0.10214365273714066
There are some important elements in this report which must be underlined.,There are some important elements in this report that must be underlined.,Not Hallucination,0.9469472765922546
"If it becomes necessary to add a new policy, we will, of course, try to be as helpful as possible.","We will, of course, try to be as helpful as possible.",Hallucination,0.5740827322006226
"No, not all of it.",All of it.,Hallucination,0.28934815526008606
"It is not the text we would have written but we will be voting for it, as he knows.","He knows that we would vote for that, but we will vote for that.",Not Hallucination,0.8499413728713989
That is really the central problem for us.,That is our central problem.,Not Hallucination,0.968318521976471
Action is needed now.,Action needs to be taken right now.,Not Hallucination,0.977824866771698
I have three remarks to make in this respect.,Here is my opinion on this matter.,Hallucination,0.27428701519966125
The Commission drew up its proposal at the request of the President of Parliament and on the basis of a European Parliament Bureau decision.,The Commission drew up its proposal at the request of the President of Parliament and based on a bureaucrat decision.,Hallucination,0.241673082113266
We take note of your comment.,We take your comment into account.,Not Hallucination,0.9449704885482788
He's heavy.,Heavy. He's a heavy man.,Not Hallucination,0.8878658413887024
The Committee of Independent Experts has identified some irregularities for which it holds certain Commissioners responsible.,The Independent Commission has identified some irregularities in the work of certain commissioners.,Hallucination,0.30865371227264404
"For the first time, the European Union is facing the challenge of a five-year programme to combat violence.",European Union faces its first challenge in the form of five-year programme to combat violence.,Not Hallucination,0.9745166301727295
"My third point is this: if the agreement is implemented, information networks will be set up under Article 6.","If the agreement is implemented, networks will be set up under Article Six.",Hallucination,0.43050089478492737
"Hello, Paul.","Hey Paul,",Not Hallucination,0.8498276472091675
"Hello, neighbor.","Hey, neighbor,",Not Hallucination,0.8762995600700378
WShere's my watch?,Here is my watch.,Hallucination,0.21112678945064545
It's not a bad idea.,It isn't a bad idea.,Not Hallucination,0.9797375798225403
You can come on out.,You can come out.,Not Hallucination,0.9455724358558655
